Genre,Avg_IMDb_Score
Documentary,6.936477987421385
Thriller,5.697916666666668
"Science Fiction",5.6117647058823525
Horror,5.3578947368421055
Mystery,5.133333333333334
Action,5.745
Comedy,5.743023255813954
Musical,5.9222222222222225
Drama,6.379047619047619
Rom-Com,5.837209302325582
Romance,6.092857142857143
Anime,6.670833333333333
Interviews,6.877777777777777
"Variety Show",6.1
Supernatural,5.4
Biopic,6.4399999999999995
Satire,5.824999999999999
"Concert Film",7.633333333333333
Historical,7.050000000000001
